Id,SeedId,复投次数,调温最大亮度值,稳定时间,引晶开始CCD亮度值,引晶稳定CCD亮度差值,引晶熔接CCD差值,引晶开始结束CCD差值,引晶后50长拉速,引晶平均拉速,放肩高度,放肩降温量,等径长度
7062,220901361-411,4,58.05,24,53.37,-2.26,-7.66,-0.53,4.75,4.22,127.79,7.2,1
7063,220901181-311,3,57.37,58,49.11,-2.21,-7.03,-0.36,5.03,4.72,132.22,6.5,1
7064,220901421-712,7,58.36,28,48.68,-2.41,-7.75,0.1,4.58,4.55,129.04,7.5,1
7065,220901081-413,4,63.85,24,51.97,-2.67,-8.1,-0.13,5.16,4.86,131,6.5,1
7066,220901172-112,1,67.92,29,57.47,-2.74,-8.98,-0.21,4.76,4.74,127.49,6.03,1
7067,220901311-411,4,58.22,45,48.23,-2.92,-7.21,-0.95,5.06,4.42,143.08,8.52,1
7068,220901281-411,4,67.71,30,57.05,-2.73,-8.74,-0.63,3.99,3.87,128.76,6.54,1
7069,220901242-314,3,60.27,29,51.58,-2.2,-6.69,-0.71,5.28,4.63,127.64,6.5,1
7070,220901103-211,2,56.47,61,48.14,-2.14,-6.44,-0.69,4.44,3.98,126.33,6.5,1
7071,220901131-312,3,63.44,18,52.8,-3.96,-8.2,-1.51,5.05,4.64,124.08,6.9,1
7072,220901371-511,5,61.33,50,50.08,-2.52,-6.87,-0.86,5.14,4.3,145.9,8.55,1
7073,220900991-113,1,61.74,21,51.14,-2.08,-6.3,-1,4.72,3.77,115.43,6.56,1
7074,220901061-511,5,57.51,24,48.1,-2.26,-7.31,-0.27,4.89,4.72,125.9,6.54,1
7075,220901351-614,6,54.51,47,45.57,-2.82,-6.18,-0.83,3.73,3.85,136.22,7.01,1
7076,220900982-412,4,63.81,20,52.45,-2.13,-7.47,-0.97,4.98,4.81,122.16,7.02,1
7077,220901331-311,3,64.04,38,53.33,-3.28,-8.26,-0.64,5.06,4.44,123.5,6.05,1
7078,220901022-212,2,59.26,41,50.67,-2.36,-6.79,-0.7,5.39,4.43,139.99,7.53,1
