Id,SeedId,复投次数,调温最大亮度值,稳定时间,引晶开始CCD亮度值,引晶稳定CCD亮度差值,引晶熔接CCD差值,引晶开始结束CCD差值,引晶后50长拉速,引晶平均拉速,放肩高度,放肩降温量,等径长度
7456,220801071-211,2,60.21,54,49.6,-2.13,-7.1,-0.5,5.03,5.06,132.05,6.01,1
7457,220801002-312,3,61.35,20,51.31,-2.18,-7.84,-0.07,4.97,4.84,136.4,7.52,1
7458,220801042-211,2,67.87,50,56.19,-3.52,-9.33,-0.98,5.48,5.28,137.92,8.54,1
7459,220801102-321,3,54.87,34,48.36,-2.12,-7.54,-0.71,4.54,4.3,129.56,6.54,1
7460,220801111-321,3,58.7,36,46.82,-2.27,-7.37,-0.42,5.11,4.64,150.82,8.5,1
7461,220801162-131,1,65.18,16,51.09,-3.1,-8.3,-1.44,5.55,5.41,123.67,6.6,1
7462,220801181-212,2,57.99,53,49.44,-3.04,-6.78,-0.35,5.43,4.8,146.74,6.53,1
7463,220801332-221,2,63.76,58,53.61,-4.52,-8.99,-0.39,5.38,4.52,142.24,7.02,1
7464,220801421-221,2,59.23,14,49.94,-2.24,-7.35,-0.27,4.92,4.68,133.49,7.3,1
7465,220801382-212,2,84,28,67.52,-4.36,-10.97,-1.42,5.63,5.69,149.94,8.9,1
7466,220801432-211,2,65.02,37,53.19,-2.63,-9.37,0.7,5.15,4.03,126.5,6.51,1
7467,220801242-211,2,61.75,32,51.43,-2.71,-7.36,-0.47,5.17,5,125.13,6.51,1
7468,220801311-211,2,57.52,45,48.29,-2.85,-7,-1.02,5.23,4.64,137.56,8.7,1
7469,220801032-211,2,81.42,28,68.42,-2.92,-9.77,-0.46,5.1,5.09,133,7.51,1
7470,220801351-221,2,54.69,25,45.41,-1.67,-5.72,-0.07,4.42,4.83,196.62,7.02,1
7471,220801111-311,3,57.02,58,47.06,-1.75,-7.48,-0.38,4.75,4.42,147.66,8.02,1
7472,220801061-211,2,58.65,85,48.86,-2.39,-8.07,-0.6,5.38,4.73,127.99,6.53,1
7473,220801411-211,2,67.3,58,54.87,-2.91,-10.91,-1.06,5.73,5.04,129.54,6.43,1
7474,220901171-112,1,70.77,20,57.89,-2.9,-8.75,-0.41,5.24,4.64,127.11,6.54,1
7475,220801102-311,3,57.75,47,48.16,-2.4,-7.91,-1,4.56,4.29,127.58,6.5,1
7476,220801292-113,1,62.67,28,53.31,-2.8,-7.99,-0.79,4.67,4.55,130.29,6.7,1
7477,220801332-212,2,64.37,43,53.36,-4.73,-9.09,-0.39,5.19,4.78,135.04,7,1
7478,220800982-211,2,61.48,18,53.2,-2.55,-6.72,-0.47,4.12,4.02,128.98,6.51,1
7479,220801401-211,2,66.7,53,55.52,-3.37,-9.61,-1.13,5.77,4.63,126.33,6.52,1
7480,220801151-211,2,62.32,49,53.94,-2.07,-7.72,-0.47,4.79,4.65,130.27,6.5,1
7481,220801372-211,2,58.03,34,49.93,-2.25,-7.1,-1.05,5.38,4.97,135.77,8.73,1
7482,220801082-211,2,66.23,42,52.28,-2.73,-8.22,-0.34,5.14,5.01,127.64,6.51,1
7483,220801442-211,2,62.51,51,51.55,-2.48,-8.5,-0.67,5.09,4.25,129.32,6.8,1
7484,220801302-212,2,68.88,47,57.08,-2.81,-8.48,-0.52,4.93,4.56,146.65,10.06,1
7485,220801322-111,1,60.07,44,50.72,-2.24,-7.62,-0.28,5.08,4.53,144.69,7.02,1
7486,220801131-211,2,64.18,31,51.86,-2.91,-8.06,-0.37,5.43,5.57,132.87,6.63,1
7487,220801091-112,1,66.39,19,52.27,-2.92,-8.08,-1.11,6.1,5.57,122.64,6.51,1
7488,220801011-212,2,60.47,52,51.54,-2.62,-7.48,-0.13,5.52,5.22,142.37,8,1
7489,220801162-122,1,60.89,20,50.56,-2.65,-7.52,-0.89,6.01,5.46,135.84,6.82,1
7490,220801272-211,2,63.45,44,53.76,-2.52,-8.83,-0.09,5.08,4.5,121.9,6.91,1
7491,220801261-111,1,63.45,50,53.26,-2.69,-8.22,-0.75,4.79,3.95,129.95,6.5,1
7492,220801002-211,2,60.89,70,51.73,-2.58,-7.8,-0.26,4.14,3.84,142.29,7.5,1
7493,220801051-112,1,56.79,26,48.62,-1.65,-6.64,-1.13,5.35,4.72,124.14,6.84,1
7494,220801192-111,1,53.42,59,45.18,-1.86,-6.49,-0.09,4.59,4.16,133.51,6.53,1
7495,220801391-211,2,67.33,85,56.82,-2.55,-8.73,-0.46,3.46,3.97,133.04,6.52,1
7496,220801341-113,1,68.97,36,58.17,-3.28,-8.91,-0.71,5.62,5.46,136.57,6.92,1
7497,220801421-211,2,57.03,105,49.42,-1.43,-6.99,0.18,4.06,4.42,137.77,7.05,1
7498,220800971-111,1,77.34,22,63.75,-3.03,-8.43,-1.03,6.9,5.9,121.37,6.54,1
7499,220801111-211,2,55.75,68,47.07,-2.08,-6.96,-0.65,5.46,4.57,144.16,8.04,1
7500,220801211-111,1,61.87,34,52.13,-2.19,-7.6,-0.6,5.33,5.1,129.11,6.03,1
7501,220801372-121,1,58.2,38,49.74,-2.48,-6.32,-1.03,5.83,5.49,133.45,8.53,1
7502,220801121-111,1,59.91,81,48.67,-2.82,-7.9,-0.61,5.38,4.57,153.85,7.51,1
7503,220801142-111,1,60.07,68,49.11,-2.73,-7.08,-0.93,5.66,4.87,121.95,6.51,1
7504,220801102-231,2,57.79,46,48.78,-2.95,-7.03,-0.34,4.38,3.84,134.35,6.53,1
7505,220801202-211,2,65.56,42,53.24,-2.84,-7.56,-0.44,5.3,4.45,127.77,6.54,1
7506,220801232-112,1,57.68,28,47.14,-2.84,-7.99,-0.22,5.16,4.86,124.87,7.04,1
7507,220801362-111,1,63.31,39,53.5,-2.11,-7.81,0.28,4.41,4.28,178.47,7.04,1
7508,220801332-121,1,67.22,31,53.84,-4.33,-8.82,-0.49,5.13,5.59,131.9,6.5,1
7509,220801281-112,1,72.78,31,57.32,-3.17,-10.18,-1.19,5.03,4.96,127.17,6.52,1
7510,220801351-211,2,54.66,37,45.42,-1.62,-5.83,-0.19,4.48,4.29,143.77,7.01,1
7511,220801252-111,1,54.93,49,43.26,-2.54,-8.62,-0.25,4.74,4.63,127.45,6.52,1
7512,220800991-113,1,58.87,36,47.75,-2.66,-8.01,-14.8,5.26,5.38,134.35,6.59,1
7513,220801162-111,1,59.57,49,50.28,-2.26,-7.4,-0.23,5.39,4.8,131.62,6.57,1
7514,220801071-111,1,61.18,59,49.55,-2.09,-7.19,-0.42,5.39,4.78,129.75,6.03,1
7515,220801311-111,1,60.31,37,48.19,-2.96,-7.18,-1.24,6.01,5.16,136.18,8.14,1
7516,220801432-122,1,54.33,19,53.22,-2.59,-9.45,0.6,5.18,5.08,127.94,6.53,1
7517,220801242-111,1,61.33,70,51.39,-2.78,-7.84,-0.52,5.14,4.85,124.25,6.54,1
7518,220801181-112,1,59.61,26,49.79,-2.58,-8.14,-0.8,5.42,4.23,124.01,6.54,1
7519,220801221-111,1,65.09,46,52.85,-3.32,-9.43,-0.25,5.24,4.84,122.49,6.53,1
7520,220801302-113,1,70.35,37,57.4,-3.07,-9,-0.77,4.96,4.71,151.04,10.5,1
7521,220801042-111,1,67.44,41,56.78,-2.9,-8.55,-0.96,5.41,4.64,140.09,8.51,1
7522,220801032-111,1,80.66,49,68.2,-3.37,-9.32,-0.42,5.29,5.13,132.96,7.53,1
7523,220801021-111,1,60.29,59,50.05,-2.53,-7.42,-0.37,5.73,5.36,139.25,7.53,1
7524,220801102-222,2,60.12,22,48.6,-2.31,-7.2,-0.66,4.82,4.62,129.3,6.52,1
7525,220801372-111,1,61.56,45,49.95,-2.86,-8.04,-0.82,5.5,5.24,133.21,8.55,1
7526,220801011-112,1,63.75,37,52.28,-2.35,-7.19,-0.69,5.92,4.73,145.85,8.03,1
7527,220801411-111,1,69.12,48,54.89,-3.08,-10.67,-0.51,5.19,4.96,128.83,6.7,1
7528,220801332-112,1,65.97,41,54.16,-3.93,-8.14,-1.02,5.46,5.35,137.86,6.35,1
7529,220801421-111,1,58.29,95,48.94,-2.19,-7.59,0.35,5.08,5.14,123.56,7.02,1
7530,220801382-111,1,79.56,28,68.65,-4.65,-9.48,-1.79,6.34,5.87,141.4,8.52,1
7531,220801061-111,1,58.45,74,49.14,-2.67,-7.92,-0.39,5,4.06,126.59,6.53,1
7532,220801401-111,1,66,25,56.57,-2.23,-8.31,-0.94,4.55,4.2,128.31,6.52,1
7533,220801272-113,1,64.92,27,53.8,-2.5,-8.62,-0.33,4.91,4.44,121.75,6.53,1
7534,220801002-111,1,62.02,65,51.93,-1.9,-7.91,0.15,5.09,4.02,136.35,7.54,1
7535,220801351-111,1,52.86,56,45.34,-1.73,-5.93,-0.2,5.01,4.72,148.28,7.02,1
7536,220801151-111,1,62.03,49,53.83,-2.16,-7.96,-0.3,4.37,4,129.58,6.53,1
7537,220801171-002,0,69.85,17,59.26,-3.14,-9,-0.81,5.25,4.76,128.74,6.53,1
7538,220801131-111,1,63.51,62,51.93,-3.51,-8.87,-0.49,4.46,4.35,140.59,7.11,1
7539,220801082-111,1,66.58,44,52.15,-2.81,-8.3,-0.07,5.03,4.66,134.14,6.52,1
7540,220800982-111,1,62.72,27,52.73,-2.98,-7.36,-0.68,4.95,4.97,122.27,6.51,1
7541,220801442-111,1,64.47,30,51.74,-2.23,-8.53,-0.35,4.18,4.64,127.39,6.52,1
7542,220801391-111,1,67.71,75,56.78,-3.17,-9.33,-0.83,4.74,4.34,130.25,6.52,1
7544,220800971-002,0,74.34,24,63.12,-3.82,-9.06,-1.15,6.76,5.68,121.39,6.2,1
7545,220801102-211,2,58.74,27,48.11,-1.88,-7.29,-0.58,5.19,5.11,126.68,6.53,1
7546,220800991-002,0,57.72,38,48,-2.48,-8.15,-0.45,5.59,4.94,130.61,6.49,1
7547,220801091-002,0,62.61,26,52.51,-2.73,-8.21,-0.12,5.45,4.91,124.18,6.51,1
7548,220801111-111,1,55.5,65,46.78,-2.34,-7.3,-0.45,4.78,4.85,145.19,8,1
7552,220801202-121,1,63.35,49,53.08,-2.95,-8.02,-0.42,5.74,5.19,123.54,6.53,1
7553,220801432-112,1,64.77,39,53.8,-2.11,-9.07,0.64,5.11,4.85,126.7,6.51,1
7554,220801102-111,1,59.63,39,48.19,-1.74,-7.28,-0.42,5.61,4.78,127.47,6.53,1
7556,220801071-002,0,58.71,29,49.66,-1.94,-7.56,-0.25,4.69,4.02,131.32,6.01,1
7558,220801202-111,1,62.68,56,54.03,-2.07,-6.76,-0.43,4.67,4.15,130.03,6.73,1
7714,220901232-112,1,55.72,25,47.75,-1.93,-6.65,-1.04,6.34,5.41,125.58,6.77,0
7715,220900991-611,6,58.74,40,49.41,-2.58,-6.96,-0.23,5.23,5.13,120.96,6.75,0
7716,220901202-111,1,62.29,33,52.25,-2.69,-8.13,-0.22,4.99,4.54,129.51,6.91,0
7717,220901032-111,1,80.92,30,69.99,-3.82,-10.93,0.39,4.77,4.08,136.89,7.51,0
7718,220901291-511,5,60.76,51,52.3,-2.35,-7.13,-0.68,4.3,3.98,122.79,7,0
7719,220901151-813,8,63.48,27,53.14,-2.43,-8.44,-0.5,5.03,4.77,97.65,4.71,0
7720,220901301-511,5,67.85,53,56.16,-3.04,-10.11,-0.62,5.12,4.43,143.51,10.75,0
7721,220901321-611,6,58.01,44,49.66,-2.53,-6.77,-0.47,4.98,4.64,137.71,7.01,0
7722,220901122-211,2,59.68,56,48.4,-3.31,-7.68,-0.41,3.77,3.81,154.84,7.53,0
7723,220901262-512,5,64.2,28,52.12,-3.47,-8.53,-0.64,5.13,4.88,121.17,6.52,0
7724,220901412-211,2,63.93,27,54.52,-2.15,-6.61,-0.02,5.17,4.69,127.43,6.94,0
7725,220901232-111,1,56.13,40,47.18,-2.44,-7.09,-0.39,5.29,4.85,117.86,19.8,0
7726,220901082-512,5,60.87,40,51.61,-3.07,-9.09,-0.53,5.37,4.85,121.09,6.77,0
7727,220901002-314,3,61.45,46,50.75,-3,-9.59,0.33,4.73,4.85,140.05,7.52,0
7728,220901091-812,8,60.05,32,51.04,-3.8,-8.13,-0.45,5.43,5.46,126.96,6.79,0
7729,220901431-712,7,61.73,79,52.02,-3.49,-9.71,0.48,5.4,4.78,128.48,6.53,0
7730,220901372-111,1,58.83,39,49.4,-2.59,-8.03,-0.43,5.54,5.23,138.22,8.52,0
7731,220900983-111,1,63.66,24,52.37,-2.02,-6.99,-0.58,5.39,4.61,122.08,6.82,0
7732,220901262-511,5,62.87,33,53.14,-2.24,-7.6,-0.74,4.67,4.12,103.2,5.41,0
7733,220901082-511,5,63.31,41,51.78,-2.89,-9.12,-0.34,5.1,4.62,85.48,3.19,0
7734,220901282-112,1,66.76,31,55.79,-2.94,-8.63,-1,6.54,5.32,118.92,6.5,0
7735,220901431-711,7,67.65,86,52.33,-3.17,-9.4,1.17,4.34,4.25,118.98,6.54,0
7736,220901212-112,1,58.44,33,51.73,-2.47,-7.41,-0.89,5.26,4.83,122.23,6.7,0
7737,220901162-411,4,62.6,62,49.15,-3.92,-9.74,-0.33,5.41,4.72,120.66,6.75,0
7738,220901002-312,3,62.26,22,51.39,-2.39,-8.95,-1.15,5.75,4.88,117.88,7.07,0
7739,220901151-811,8,65.91,36,53.21,-2.37,-8.16,-0.21,4.93,4.14,125.21,6.52,0
7740,220901071-712,7,57.01,28,49,-1.99,-6.4,-0.47,5.24,5.25,127.19,6.9,0
7741,220901132-511,5,63.8,66,51.64,-3.34,-7.81,-0.62,4.67,4.59,128.4,6.89,0
7742,220901002-311,3,62.75,40,51.44,-2.15,-8.65,-0.54,5.12,4.76,124.76,0.3,0
7743,220901112-611,6,55.64,29,46.84,-1.86,-7.08,-0.53,4.99,4.86,138.29,7.53,0
7744,220901212-111,1,64.32,23,51.96,-2,-7.66,-0.81,5.04,4.84,124.29,6.77,0
7745,220901353-311,3,52.1,43,45.18,-1.5,-5.13,-0.81,5.55,5.09,122.96,6.67,0
7746,220901012-611,6,71.73,28,61.01,-1.97,-8.73,-0.66,4.57,4.36,143.71,8.01,0
7747,220901282-111,1,65.82,56,56.66,-2.12,-6.98,-0.99,5.96,5.26,118.18,6.47,0
7748,220901071-711,7,57.34,43,48.6,-2.07,-7.21,-0.41,5.91,5.24,123.86,4.92,0
7749,220901422-312,3,57.04,40,49.17,-1.93,-6.29,-0.28,4.97,5.06,129.36,7.3,0
7750,220901222-113,1,63.88,26,53.14,-3.8,-7.93,-0.59,5.24,5.1,137,6.52,0
7751,220901172-613,6,70.17,28,57.58,-2.67,-8.93,0.17,4.25,4.19,122.7,3.01,0
7752,220901103-711,7,56.78,52,47.99,-1.57,-6.44,0.01,4.41,4.13,136.37,6.5,0
7753,220901253-612,6,55.43,34,43.01,-2.06,-8.58,-0.53,5.26,4.44,125.06,6.7,0
7754,220901022-711,7,60.4,48,50.13,-1.85,-7.48,-0.61,3.94,3.73,140.39,7.53,0
7755,220901172-612,6,67.62,29,57.52,-2.58,-8.8,0.05,4.49,4.74,136.22,6.05,0
7756,220901051-712,7,56.74,33,47.96,-2.27,-7.25,-0.54,5.36,5.09,130.25,6.52,0
7757,220901272-112,1,62.3,26,52.57,-2.46,-8.85,0.2,5.66,5.39,122.59,6.54,0
7758,220901422-311,3,56.13,42,49.39,-1.7,-6,0,4.45,4.25,127.73,7.2,0
7759,220901222-112,1,63.43,17,52.9,-2.65,-7.57,-0.42,5.47,5.49,134.78,6.55,0
7760,220901062-211,2,58,37,48.37,-2.02,-7.2,-0.01,4.4,4.3,127.51,6.54,0
7761,220901381-414,4,84.66,21,69.34,-3.62,-10.98,-1.8,4.75,4.1,151.25,10,0
7762,220901401-811,8,65.8,56,54.79,-1.93,-8.07,-0.51,4.16,3.91,131.69,6.9,0
7763,220901051-711,7,59.2,36,48.08,-2.11,-6.86,-0.74,4.55,4.49,122.27,6.53,0
7764,220901222-111,1,63.22,42,52.96,-3.07,-7.81,0.57,3.63,3.9,124.91,6.71,0
7765,220901272-111,1,63.56,69,52.89,-2.8,-8.97,0.55,4.98,5.08,120.89,6.5,0
7766,220901301-413,4,66.72,40,55.96,-3,-9.91,0.1,4.87,4.4,146.52,10.77,0
7767,220901301-412,4,67.57,55,55.71,-3.27,-9.95,-0.17,5.03,4.53,140.7,10.75,0
7768,220901301-411,4,69.05,41,56.37,-2.62,-9.56,-0.31,4.48,4.17,145.79,10.74,0
7769,220901042-111,1,69.04,37,56.53,-3.29,-8.8,-1.38,5.76,4.92,133.13,8.55,0
7770,220901412-111,1,65.81,63,54.6,-0.6,-8.98,-0.64,6.45,5.58,125.52,6.78,0
7771,220901392-113,1,67.91,27,56.53,-3.16,-8.4,-1.07,5.15,4.34,121.95,6.54,0
7772,220901112-511,5,57.03,55,46.85,-2.18,-7.72,-0.43,4.35,4.22,124.57,7.5,0
7773,220901132-411,4,62.11,55,52.17,-2.84,-7.32,-0.72,4.35,4.14,129.73,4.74,0
7774,220900972-612,6,73.49,29,63.75,-3.35,-8.32,-0.75,4.38,4.53,129.11,6.6,0
7775,220901022-611,6,59.34,55,50.22,-2.29,-7.23,-0.83,4.92,4.09,137.43,7.53,0
7776,220901392-112,1,72.54,24,55.81,-2.68,-9.54,-0.37,5.62,5.07,126.48,6.52,0
7777,220901381-411,4,84.01,29,69.24,-3.11,-10.93,-1.21,4.71,4.47,147.45,8.6,0
7778,220901392-111,1,65.32,34,56.59,-2.75,-7.62,0,3.97,4.12,133.9,8.2,0
7779,220900982-714,7,61.38,28,51.97,-3.49,-8.45,-0.04,4.14,4.22,124.25,7.03,0
7780,220901082-311,3,63.51,47,52.34,-2.7,-9.05,-0.77,5.69,4.86,128.74,6.51,0
7781,220901242-612,6,58.76,29,51.16,-1.58,-6.37,-0.5,4.29,4.45,126.96,6.84,0
7782,220901181-611,6,58.87,56,49.23,-1.6,-7.33,-0.38,5.03,4.44,57.73,2.59,0
7783,220901242-611,6,61.42,80,51.09,-2.19,-5.84,-0.6,4.55,4.22,89.01,3.72,0
7784,220901082-211,2,64.27,46,52.77,-3.24,-9.75,-0.86,4.59,3.71,128.91,16.54,0
7785,220901311-711,7,58.28,37,48.49,-2.67,-7.75,-0.56,4.76,4.44,125.26,25.8,0
7786,220901262-311,3,64.65,67,53.42,-3.41,-8,-0.53,4.78,4.76,124.14,6.52,0
7787,220900982-711,7,66.9,25,52.18,-2.23,-7.64,-0.05,4.48,4.29,130.85,7,0
7788,220901331-611,6,62.29,36,53.38,-2.35,-8.3,-0.06,3.02,3.66,112.85,6.94,0
7789,220901301-311,3,67.18,65,56.94,-2.93,-9.62,-0.42,5.52,4.94,145.9,10.76,0
7790,220901253-411,4,53.17,34,44.49,-1.92,-7.47,-0.43,4.53,4.19,128.42,6.52,0
7791,220901411-712,7,64.63,13,55.04,-2.12,-8.54,-1.77,5.94,5.12,128.14,6.86,0
7792,220901031-511,5,82.89,37,70.32,-3.49,-10.08,0.02,4.48,4.43,124.23,7.52,0
7793,220901422-111,1,56.24,65,49.03,-2.13,-6.46,-0.14,5.24,5.1,105.18,6.05,0
7794,220900972-511,5,75,32,63.9,-2.67,-8.43,-0.48,3.38,4.02,121.47,6.8,0
7795,220901271-612,6,64.5,25,52.66,-2.5,-8.82,-0.21,5.42,4.94,100.81,4.74,0
7796,220901371-712,7,58.74,45,49.95,-2.13,-7.03,-0.55,4.51,4.51,150.61,8.51,0
7797,220901162-112,1,61.24,42,51.6,-3.51,-8.01,-0.91,6,5.04,118.98,18.2,0
7798,220901141-511,5,56.79,62,48.31,-2.69,-6.35,-1.06,5.29,4.87,88.39,3.22,0
7799,220901391-615,6,67.87,14,55.39,-3.06,-9.49,-1.55,5.83,5.6,120.68,9.6,0
7800,220901231-513,5,57.08,17,47.11,-1.92,-7.63,-0.11,5.32,4.74,107.03,5.54,0
7802,220901231-512,5,58.87,39,47.17,-1.89,-8.81,-0.31,5.35,5.12,107.89,3.07,0
7803,220901371-711,7,61.4,61,49.87,-2.64,-8.05,-0.29,5.29,4.99,152.86,8.8,0
7804,220901291-213,2,66.62,22,53.05,-2.62,-9.54,-0.77,5.36,4.78,125.09,6.76,0
7805,220901291-212,2,62.91,33,53.1,-2.52,-7.94,-0.91,5.99,4.99,119.84,8,0
7806,220901262-211,2,65.29,41,54.26,-2.66,-7.22,-0.39,5.59,5.16,129.06,6.55,0
7807,220901431-411,4,65.52,41,52.5,-2.98,-8.93,0.61,4.62,4.71,128.59,6.52,0
7808,220901022-411,4,59.73,56,50.44,-2.62,-6.55,-0.72,4.24,3.78,136.14,11.72,0
7809,220901391-612,6,67.58,15,55.29,-2.29,-8.78,-0.8,5.59,5.29,31.86,1.98,0
7810,220901211-512,5,63.17,24,51.47,-2.38,-8.09,-0.9,5.6,5.02,117.15,6.55,0
7811,220901211-511,5,61.97,31,51.9,-1.96,-7.53,-0.23,4.55,4.15,139.19,7.05,0
7812,220900972-412,4,74.09,17,63.88,-2.57,-8.16,-1.27,5.03,4.85,120.98,6.52,0
7813,220901071-311,3,54.09,43,49.69,-1.99,-10.39,-0.63,4.34,4.03,128.8,9.03,0
7814,220900972-411,4,75.83,74,63.9,-2.61,-8.75,-0.1,4.21,10.47,122.59,6.9,0
7815,220901442-311,3,61.74,52,50.33,-3.41,-9.48,-0.49,4.92,4.54,123.47,6.75,0
7816,220901141-411,4,58.17,48,48.48,-2.78,-7.13,-0.65,4.55,4.33,116.31,5.29,0
7817,220901242-413,4,64.34,42,51.08,-2.16,-7.62,-0.59,4.98,4.95,128.85,6.02,0
7818,220900991-212,2,58.76,37,50.41,-2.81,-7.11,-0.63,4.5,4.15,122.16,6.84,0
7819,220901281-511,5,64.3,41,56.74,-3.07,-7.49,-0.89,4.78,4.24,127.67,6.73,0
7820,220901181-411,4,58.52,57,49.18,-2.05,-7.06,0.07,4.46,4.17,129.64,11.9,0
7821,220901242-411,4,59.98,61,51.25,-1.98,-7.22,-0.53,4.36,4.31,128.76,6.52,0
7822,220901172-211,2,68,32,57.59,-2.6,-8.86,-0.47,5.35,4.75,130.7,6,0
7823,220900991-211,2,59.71,49,50.58,-2.71,-6.73,-0.54,3.81,3.91,120.94,11.83,0
7824,220901262-113,1,62.1,39,54.83,-3.03,-6.24,-0.35,4.37,3.61,102.47,5.96,0
7825,220901061-611,6,59.33,67,48.14,-2.23,-7.51,-0.15,5.44,4.68,122.03,6.51,0
7826,220901431-311,3,64.65,26,53.05,-2.4,-8.3,0.73,5.3,3.81,128.18,10.89,0
7827,220901262-112,1,65.19,54,56.19,-1.6,-5.72,-0.73,3.98,3.58,131.45,6.52,0
7828,220901201-411,4,62.86,59,53.49,-1.85,-7.68,-0.23,4.44,4.34,135.92,7,0
7829,220901291-111,1,61.26,56,53.33,-1.88,-6.93,-0.76,5.19,5.26,124.76,8.1,0
7830,220901031-313,3,81.5,20,70.88,-2.96,-9.18,-1.28,6.1,5.16,132.05,7.52,0
7831,220901253-212,2,51.31,67,43.26,-2.89,-6.87,0.02,4.77,4.73,128.44,7.03,0
7832,220901001-611,6,64.11,50,50.12,-3.16,-9.56,-0.03,5.03,4.77,136.98,7.5,0
7833,220900972-311,3,71.77,46,64.25,-2.34,-8.35,-0.82,5.14,4.28,121.86,6.52,0
7834,220901253-211,2,50.31,57,44.28,-2.24,-6.03,0.1,4.67,4.59,48.87,-20.3,0
7835,220901031-311,3,81.36,73,70.63,-3.63,-10.26,-0.35,4.98,4.58,130.01,7.53,0
7836,220901191-211,2,54.42,76,44.62,-1.97,-7.03,0.15,4.15,4.12,113.05,6.52,0
7837,220901381-111,1,82.9,29,68.92,-3.04,-10.24,-1.28,6.13,5.55,140.26,8.5,0
7838,220901081-412,4,60.95,45,52.32,-2.22,-8.5,-0.09,4.34,4.14,108.1,6.53,0
7839,220901091-311,3,62.97,22,52.05,-2.79,-8.08,-0.29,4.29,4.12,133.19,6.52,0
7840,220901141-311,3,58.87,43,48.41,-2.93,-7.34,-1.4,5.29,4.88,122.1,6.38,0
7841,220901271-411,4,63.34,41,52.54,-2.9,-9.56,0.14,4.14,4.41,122.7,6.53,0
7842,220901231-311,3,57.05,26,47.28,-2.01,-7.22,-0.05,4.29,4.45,129.09,7.03,0
7843,220901242-313,3,60.95,27,51.17,-2.01,-7.26,-0.28,4.57,4.62,128.8,6.53,0
7844,220901022-211,2,61.74,64,50.41,-2.62,-7.01,-0.57,4.59,4.59,116.53,7.11,0
7845,220900982-411,4,67.01,34,52.04,-2.68,-7.8,-0.4,5.75,5.13,99.85,5.62,0
7846,220901242-312,3,60.29,29,51.11,-2.09,-7.25,-0.56,5.15,4.62,125.45,6.5,0
7847,220900991-111,1,61.39,28,50.34,-2.03,-7.37,-0.7,4.79,4.84,116.87,6.39,0
7848,220901411-411,4,65.23,45,54.17,-2.71,-9.39,-0.72,4.54,4.88,106.53,2.82,0
7849,220901242-311,3,58.93,81,51.39,-2.16,-7.5,-0.44,4.34,4.3,121.02,6.52,0
7850,220901121-412,4,57.63,33,47.78,-2.7,-8.15,-0.57,5.42,5.27,155.44,7.53,0
7851,220901011-613,6,62.98,18,52.43,-3.51,-7.81,-1.21,5.6,4.83,109.56,6.28,0
7852,220901201-311,3,62.07,66,53.4,-2.06,-7.71,-0.64,4.63,4.62,130.87,6.53,0
7853,220901151-211,2,63.05,42,53.63,-2.48,-7.91,-0.6,4.09,3.8,118.83,4.97,0
7854,220901351-612,6,53.43,36,45.31,-1.77,-6.06,-0.62,4.83,4.64,134.09,7.01,0
7855,220901031-212,2,82.12,30,70.74,-3.98,-10.18,0.08,4.54,4.63,131.88,7.52,0
7856,220901181-211,2,60.14,53,49.52,-2.45,-6.79,-0.33,4.67,4.26,131.77,6.5,0
7857,220901351-611,6,54.05,48,45.12,-1.92,-6.37,-0.61,4.85,4.43,109.54,5.69,0
7858,220901221-411,4,64.72,72,52.48,-4.23,-9.08,0.31,3.87,4.3,122.01,6.5,0
7859,220901191-113,1,56.4,36,44.81,-2.46,-7.56,-0.4,5.12,4.46,132.63,6.51,0
7860,220901031-211,2,83.98,43,70.91,-3.82,-10.12,-0.18,4.95,4.64,130.27,8,0
7861,220901191-112,1,53.84,50,44.5,-2.76,-7.46,-0.75,5.44,4.85,127.54,13.5,0
7862,220901022-111,1,58.33,83,50.54,-2.53,-7.18,-0.1,3.49,3.97,142.95,7.54,0
7863,220901091-212,2,61.1,22,51.69,-3.11,-6.78,-0.76,5.22,4.59,121.95,6.52,0
7864,220901191-111,1,54.29,77,44.8,-2.81,-6.59,-0.3,5.42,4.58,131.36,12.5,0
7865,220901091-211,2,60.98,50,52.36,-2.85,-8.11,-0.48,4.7,3.69,120.87,11.5,0
7866,220901271-311,3,64.86,35,52.72,-2.68,-9.44,0,4.74,4.16,125.54,6.51,0
7867,220801302-613,6,64.7,38,56.14,-3.4,-11.09,0.38,4.41,4.13,125.62,10.44,0
7868,220901131-214,2,61.97,20,52.42,-2.88,-7.73,-1.42,6.17,5.5,1.48,0.57,0
7869,220901231-211,2,55.41,71,47.08,-2.87,-8.1,-0.06,4.56,4.37,122.27,6.87,0
7870,220901131-213,2,60.52,20,51.39,-3.46,-8.35,-0.98,6.28,5.5,104.43,4.57,0
7871,220901151-113,1,62.13,32,53.69,-3.01,-8.13,-1.22,5,4.7,125.84,6.51,0
7872,220901341-212,2,68.67,20,57.94,-2.3,-8.31,-0.56,4.87,4.56,111.95,5.97,0
7873,220901242-212,2,64.51,32,51.37,-2.2,-9,-0.93,5.19,4.81,125.26,6.7,0
7874,220901151-112,1,67.62,25,53.38,-2.56,-8.82,-0.86,4.76,4.9,121.43,8.8,0
7875,220901211-212,2,61.37,27,51.94,-2.41,-7.75,-0.55,4.75,4.34,128.96,6.03,0
7876,220901111-512,5,55.71,35,46.64,-2.51,-7.85,-0.77,5.41,5.01,155.06,8,0
